GeneID1	GeneID2	PCC_healthy	feature_type	PCC_healthy_abs
unknown RT 4.081766	unknown RT 4.081766	1	metabolite-metabolite	1
unknown RT 4.148561	unknown RT 4.148561	1	metabolite-metabolite	1
unknown RT 5.261918	unknown RT 5.261918	1	metabolite-metabolite	1
unknown RT 5.349937	unknown RT 5.349937	1	metabolite-metabolite	1
unknown RT 7.600111	unknown RT 5.349937	0.870152169533402	metabolite-metabolite	0.870152169533402
unknown RT 11.284935	unknown RT 5.349937	0.826750058874944	metabolite-metabolite	0.826750058874944
unknown RT 11.546791	unknown RT 5.349937	0.681960034747104	metabolite-metabolite	0.681960034747104
Sugar RT12.311732	unknown RT 5.349937	0.817894861445238	metabolite-metabolite	0.817894861445238
Sugar RT12.405521	unknown RT 5.349937	0.844798351384148	metabolite-metabolite	0.844798351384148
Creatinine, 3TMS Derivative RT12.941566	unknown RT 5.349937	0.635715174701708	metabolite-metabolite	0.635715174701708
unknown RT 14.104802	unknown RT 5.349937	0.616952347871356	metabolite-metabolite	0.616952347871356
Sugar RT14.65062	unknown RT 5.349937	0.846016528944618	metabolite-metabolite	0.846016528944618
Quinolinic acid, bis(trimethylsilyl) ester RT14.717184	unknown RT 5.349937	0.80510677696711	metabolite-metabolite	0.80510677696711
unknown RT 16.698449	unknown RT 5.349937	0.835361248935856	metabolite-metabolite	0.835361248935856
unknown RT 16.995233	unknown RT 5.349937	0.784566910651877	metabolite-metabolite	0.784566910651877
Pseudo uridine penta-tms RT19.994184	unknown RT 5.349937	0.886292258218547	metabolite-metabolite	0.886292258218547
unknown RT 5.462593	unknown RT 5.462593	1	metabolite-metabolite	1
1,2-Propanediol, 2TMS derivative RT5.872253	1,2-Propanediol, 2TMS derivative RT5.872253	1	metabolite-metabolite	1
Propanoic acid, 2-(methoxyimino)- RT6.55182	Propanoic acid, 2-(methoxyimino)- RT6.55182	1	metabolite-metabolite	1
unknown RT 7.034156	unknown RT 7.034156	1	metabolite-metabolite	1
unknown RT 17.941004	unknown RT 7.034156	0.901163399038005	metabolite-metabolite	0.901163399038005
unknown RT 18.973435	unknown RT 7.034156	0.9331975202197	metabolite-metabolite	0.9331975202197
unknown RT 5.349937	unknown RT 7.600111	0.870152169533402	metabolite-metabolite	0.870152169533402
unknown RT 7.600111	unknown RT 7.600111	1	metabolite-metabolite	1
Sugar RT14.65062	unknown RT 7.600111	0.781789807722215	metabolite-metabolite	0.781789807722215
