GeneID1	GeneID2	PCC_healthy	feature_type	PCC_healthy_abs
F2	AMBP	0.337413187351835	protein-protein	0.337413187351835
ALB	F2	0.16676965864442	protein-protein	0.16676965864442
ALB	AGT	-0.481207122289982	protein-protein	0.481207122289982
F7	AGT	-0.252400153000965	protein-protein	0.252400153000965
F7	FCN2	-0.203682552969819	protein-protein	0.203682552969819
F2	AMBP	0.337413187351835	protein-protein	0.337413187351835
F2	ANPEP	-0.172036759185603	protein-protein	0.172036759185603
AGT	AMBP	0.178148709083821	protein-protein	0.178148709083821
APOE	AMBP	-0.497474671898045	protein-protein	0.497474671898045
ALB	AMBP	-0.126685625537019	protein-protein	0.126685625537019
ALB	F2	0.16676965864442	protein-protein	0.16676965864442
ALB	AGT	-0.481207122289982	protein-protein	0.481207122289982
APOC2	AMBP	0.305499855068618	protein-protein	0.305499855068618
APOC2	F2	0.404356771717201	protein-protein	0.404356771717201
ALB	F2	0.16676965864442	protein-protein	0.16676965864442
APOC2	F2	0.404356771717201	protein-protein	0.404356771717201
F2	AMBP	0.337413187351835	protein-protein	0.337413187351835
ALB	F2	0.16676965864442	protein-protein	0.16676965864442
APOC2	F2	0.404356771717201	protein-protein	0.404356771717201
F2	ANPEP	-0.172036759185603	protein-protein	0.172036759185603
AGT	AMBP	0.178148709083821	protein-protein	0.178148709083821
APOE	ANPEP	-0.132481461326265	protein-protein	0.132481461326265
ALB	AGT	-0.481207122289982	protein-protein	0.481207122289982
F2	AMBP	0.337413187351835	protein-protein	0.337413187351835
F7	ALB	0.51145863842309	protein-protein	0.51145863842309
F2	AMBP	0.337413187351835	protein-protein	0.337413187351835
AGT	AMBP	0.178148709083821	protein-protein	0.178148709083821
F7	AGT	-0.252400153000965	protein-protein	0.252400153000965
AGT	AMBP	0.178148709083821	protein-protein	0.178148709083821
APOE	AMBP	-0.497474671898045	protein-protein	0.497474671898045
ALB	AMBP	-0.126685625537019	protein-protein	0.126685625537019
APOC2	AMBP	0.305499855068618	protein-protein	0.305499855068618
F7	AMBP	-0.1400069806545	protein-protein	0.1400069806545
F7	AGT	-0.252400153000965	protein-protein	0.252400153000965
F7	APOC2	0.301023924092498	protein-protein	0.301023924092498
AGT	AMBP	0.178148709083821	protein-protein	0.178148709083821
APOE	AMBP	-0.497474671898045	protein-protein	0.497474671898045
ALB	AMBP	-0.126685625537019	protein-protein	0.126685625537019
APOC2	AMBP	0.305499855068618	protein-protein	0.305499855068618
F7	AMBP	-0.1400069806545	protein-protein	0.1400069806545
ALB	AMBP	-0.126685625537019	protein-protein	0.126685625537019
ALB	F2	0.16676965864442	protein-protein	0.16676965864442
ALB	APOE	0.339950803303365	protein-protein	0.339950803303365
F7	ALB	0.51145863842309	protein-protein	0.51145863842309
AGT	ANPEP	0.334047879318928	protein-protein	0.334047879318928
AGT	ANPEP	0.334047879318928	protein-protein	0.334047879318928
ALB	AMBP	-0.126685625537019	protein-protein	0.126685625537019
F2	AMBP	0.337413187351835	protein-protein	0.337413187351835
ALB	AMBP	-0.126685625537019	protein-protein	0.126685625537019
ELANE	F2	-0.431070920236916	protein-protein	0.431070920236916
F7	ELANE	0.121729870442932	protein-protein	0.121729870442932
MB	LTF	0.46379019903842	protein-protein	0.46379019903842
HLA-C	MB	0.349524929689889	protein-protein	0.349524929689889
TTR	PLG	0.527973073557948	protein-protein	0.527973073557948
NCAM1	PROS1	-0.189432502055397	protein-protein	0.189432502055397
KNG1	PLG	0.569905948739616	protein-protein	0.569905948739616
KNG1	TTR	0.183681462573998	protein-protein	0.183681462573998
SERPINF2	PLG	0.341050154510002	protein-protein	0.341050154510002
F10	PLG	0.562621137020703	protein-protein	0.562621137020703
F10	TTR	0.484267645103992	protein-protein	0.484267645103992
F10	KNG1	0.188870573047223	protein-protein	0.188870573047223
HLA-A	LTF	-0.115666582377042	protein-protein	0.115666582377042
SERPINA5	TTR	0.461852858789486	protein-protein	0.461852858789486
C5	KNG1	0.126332096319121	protein-protein	0.126332096319121
B2M	LTF	0.120203433391384	protein-protein	0.120203433391384
B2M	FCGR3A	0.263951425989066	protein-protein	0.263951425989066
B2M	MB	0.219246995063548	protein-protein	0.219246995063548
B2M	HLA-C	0.278148715627727	protein-protein	0.278148715627727
B2M	HLA-A	0.297992272566881	protein-protein	0.297992272566881
HLA-C	HLA-B	0.461152880133894	protein-protein	0.461152880133894
HLA-A	HLA-B	-0.189174995518521	protein-protein	0.189174995518521
CD14	VWF	0.592007555523906	protein-protein	0.592007555523906
B2M	HLA-B	0.277653643167726	protein-protein	0.277653643167726
